year,notifications,notification_incidence_gap,notification_to_incidence_ratio
1980,11049.0,,
1981,10027.0,,
1983,11966.0,,
1985,10460.0,,
1986,10022.0,,
1987,10515.0,,
1988,10957.0,,
1989,12592.0,,
1990,11788.0,,
1991,12320.0,,
1992,14599.0,,
1993,20451.0,,
1994,22930.0,,
1995,28142.0,,
1996,34980.0,,
1997,39738.0,,
1998,48936.0,,
1999,57266.0,,
2000,64159.0,73841.0,46.49202898550725
2001,73017.0,84983.0,46.21329113924051
2002,80183.0,93817.0,46.08218390804598
2003,94183.0,110817.0,45.942926829268295
2004,100573.0,119427.0,45.715
2005,102680.0,122320.0,45.63555555555556
2006,108342.0,130658.0,45.33138075313807
2007,106438.0,128562.0,45.2927659574468
2008,99941.0,121059.0,45.22217194570136
2009,102997.0,126003.0,44.97685589519651
2010,99272.0,121728.0,44.91945701357466
2011,97320.0,119680.0,44.84792626728111
2012,92987.0,114013.0,44.92125603864734
2013,89796.0,109204.0,45.12361809045226
2014,88025.0,106975.0,45.14102564102564
2015,81292.0,97708.0,45.4145251396648
2016,76335.0,91665.0,45.4375
2017,83599.0,73401.0,53.24777070063694
2018,94534.0,51466.0,64.74931506849315
2019,84345.0,52655.0,61.56569343065693
2020,71060.0,57940.0,55.08527131782945
2021,76010.0,55990.0,57.58333333333333
2022,88690.0,40310.0,68.75193798449612
2023,94653.0,24347.0,79.54033613445378
2024,94833.0,22167.0,81.05384615384615
