year,indicator_id,indicator_name,value,unit,source,source_variable,lower,upper,notes,indicator
2000,estimated_incidence_num,Estimated TB incidence,138000.0,people,WHO Global TB Database: burden estimates,e_inc_num,56000.0,257000.0,,estimated_incidence_num
2001,estimated_incidence_num,Estimated TB incidence,158000.0,people,WHO Global TB Database: burden estimates,e_inc_num,56000.0,310000.0,,estimated_incidence_num
2002,estimated_incidence_num,Estimated TB incidence,174000.0,people,WHO Global TB Database: burden estimates,e_inc_num,57000.0,356000.0,,estimated_incidence_num
2003,estimated_incidence_num,Estimated TB incidence,205000.0,people,WHO Global TB Database: burden estimates,e_inc_num,54000.0,455000.0,,estimated_incidence_num
2004,estimated_incidence_num,Estimated TB incidence,220000.0,people,WHO Global TB Database: burden estimates,e_inc_num,54000.0,500000.0,,estimated_incidence_num
2005,estimated_incidence_num,Estimated TB incidence,225000.0,people,WHO Global TB Database: burden estimates,e_inc_num,56000.0,510000.0,,estimated_incidence_num
2006,estimated_incidence_num,Estimated TB incidence,239000.0,people,WHO Global TB Database: burden estimates,e_inc_num,56000.0,549000.0,,estimated_incidence_num
2007,estimated_incidence_num,Estimated TB incidence,235000.0,people,WHO Global TB Database: burden estimates,e_inc_num,60000.0,525000.0,,estimated_incidence_num
2008,estimated_incidence_num,Estimated TB incidence,221000.0,people,WHO Global TB Database: burden estimates,e_inc_num,66000.0,467000.0,,estimated_incidence_num
2009,estimated_incidence_num,Estimated TB incidence,229000.0,people,WHO Global TB Database: burden estimates,e_inc_num,68000.0,484000.0,,estimated_incidence_num
2010,estimated_incidence_num,Estimated TB incidence,221000.0,people,WHO Global TB Database: burden estimates,e_inc_num,73000.0,449000.0,,estimated_incidence_num
2011,estimated_incidence_num,Estimated TB incidence,217000.0,people,WHO Global TB Database: burden estimates,e_inc_num,76000.0,429000.0,,estimated_incidence_num
2012,estimated_incidence_num,Estimated TB incidence,207000.0,people,WHO Global TB Database: burden estimates,e_inc_num,79000.0,394000.0,,estimated_incidence_num
2013,estimated_incidence_num,Estimated TB incidence,199000.0,people,WHO Global TB Database: burden estimates,e_inc_num,82000.0,367000.0,,estimated_incidence_num
2014,estimated_incidence_num,Estimated TB incidence,195000.0,people,WHO Global TB Database: burden estimates,e_inc_num,84000.0,351000.0,,estimated_incidence_num
2015,estimated_incidence_num,Estimated TB incidence,179000.0,people,WHO Global TB Database: burden estimates,e_inc_num,86000.0,307000.0,,estimated_incidence_num
2016,estimated_incidence_num,Estimated TB incidence,168000.0,people,WHO Global TB Database: burden estimates,e_inc_num,86000.0,276000.0,,estimated_incidence_num
2017,estimated_incidence_num,Estimated TB incidence,157000.0,people,WHO Global TB Database: burden estimates,e_inc_num,86000.0,248000.0,,estimated_incidence_num
