indicator,first_year,first_value,latest_year,latest_value,absolute_change,percent_change,annual_linear_slope,observations
estimated_incidence_num,2000,138000.0,2024,117000.0,-21000.0,-15.217391304347828,-3470.769230769361,25
estimated_incidence_rate,2000,451.0,2024,207.0,-244.0,-54.1019955654102,-17.876153846154335,25
estimated_tb_death_rate_excl_hiv,2000,41.0,2024,29.0,-12.0,-29.268292682926827,-1.6515384615385211,25
estimated_tb_deaths_excl_hiv_num,2000,13000.0,2024,16000.0,3000.0,23.076923076923077,-209.23076923078318,25
estimated_tbhiv_death_rate,2000,142.0,2024,14.0,-128.0,-90.14084507042254,-7.011538461538612,25
estimated_tbhiv_deaths_num,2000,44000.0,2024,8000.0,-36000.0,-81.81818181818183,-2152.5384615385124,25
estimated_tbhiv_incidence_num,2000,95000.0,2024,25000.0,-70000.0,-73.68421052631578,-4218.461538461639,25
estimated_tbhiv_incidence_rate,2000,309.0,2024,44.0,-265.0,-85.76051779935275,-14.336153846154152,25
notification_incidence_gap,2000,73841.0,2024,22167.0,-51674.0,-69.98009236061267,-3298.883076923179,25
notification_rate,2000,209.37648596883184,2024,168.04546238178645,-41.331023587045394,-19.740050271546732,-5.562323448076739,25
notification_to_incidence_ratio,2000,46.49202898550725,2024,81.05384615384615,34.561817168338905,74.33923174037577,1.1218841650566393,25
notifications,1980,11049.0,2024,94833.0,83784.0,758.2948683138745,2437.3128280359824,43
population,2000,30642887.0,2024,56432943.0,25790056.0,84.1632709085146,1087027.1561538663,25
