indicator,first_year,first_value,latest_year,latest_value,percent_change
estimated_incidence_num,2000,138000.0,2024,117000.0,-15.217391304347828
estimated_incidence_rate,2000,451.0,2024,207.0,-54.1019955654102
estimated_tb_death_rate_excl_hiv,2000,41.0,2024,29.0,-29.268292682926827
estimated_tb_deaths_excl_hiv_num,2000,13000.0,2024,16000.0,23.07692307692308
estimated_tbhiv_death_rate,2000,142.0,2024,14.0,-90.14084507042254
estimated_tbhiv_deaths_num,2000,44000.0,2024,8000.0,-81.81818181818183
estimated_tbhiv_incidence_num,2000,95000.0,2024,25000.0,-73.68421052631578
estimated_tbhiv_incidence_rate,2000,309.0,2024,44.0,-85.76051779935275
notification_incidence_gap,2000,73841.0,2024,22167.0,-69.98009236061267
notification_rate,2000,209.37648596883184,2024,168.04546238178645,-19.74005027154673
notification_to_incidence_ratio,2000,46.49202898550725,2024,81.05384615384615,74.33923174037577
notifications,1980,11049.0,2024,94833.0,758.2948683138745
population,2000,30642887.0,2024,56432943.0,84.1632709085146
