cohort,metric,first_value,latest_value,absolute_change,percent_change,observations,first_year,latest_year
hiv_new_snep,cohort_size,26002.0,21328.0,-4674.0,-17.975540343050532,5,2007,2011
hiv_new_sp,cohort_size,10251.0,9767.0,-484.0,-4.721490586284265,5,2007,2011
hiv_ret,cohort_size,1072.0,4001.0,2929.0,273.2276119402985,5,2007,2011
mdr,cohort_size,1.0,327.0,326.0,32600.0,17,2006,2022
new_snep,cohort_size,56169.0,45517.0,-10652.0,-18.96419733304848,8,2004,2011
new_sp,cohort_size,1479.0,36717.0,35238.0,2382.555780933063,18,1994,2011
newrel,cohort_size,98443.0,94024.0,-4419.0,-4.48889204920614,12,2012,2023
ret,cohort_size,933.0,7235.0,6302.0,675.4555198285102,18,1994,2011
ret_nrel,cohort_size,5316.0,2454.0,-2862.0,-53.83747178329571,12,2012,2023
tbhiv,cohort_size,35717.0,23134.0,-12583.0,-35.22972254108688,12,2012,2023
xdr,cohort_size,1.0,11.0,10.0,1000.0,13,2009,2022
