year,indicator_id,indicator_name,value,unit,source,source_variable,lower,upper,notes,indicator
2000,estimated_tbhiv_death_rate,Estimated HIV-associated TB mortality rate,142.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_tbhiv_100k,,,,estimated_tbhiv_death_rate
2001,estimated_tbhiv_death_rate,Estimated HIV-associated TB mortality rate,143.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_tbhiv_100k,,,,estimated_tbhiv_death_rate
2002,estimated_tbhiv_death_rate,Estimated HIV-associated TB mortality rate,141.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_tbhiv_100k,,,,estimated_tbhiv_death_rate
2003,estimated_tbhiv_death_rate,Estimated HIV-associated TB mortality rate,153.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_tbhiv_100k,,,,estimated_tbhiv_death_rate
2004,estimated_tbhiv_death_rate,Estimated HIV-associated TB mortality rate,153.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_tbhiv_100k,,,,estimated_tbhiv_death_rate
2005,estimated_tbhiv_death_rate,Estimated HIV-associated TB mortality rate,151.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_tbhiv_100k,,,,estimated_tbhiv_death_rate
2006,estimated_tbhiv_death_rate,Estimated HIV-associated TB mortality rate,157.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_tbhiv_100k,,,,estimated_tbhiv_death_rate
2007,estimated_tbhiv_death_rate,Estimated HIV-associated TB mortality rate,138.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_tbhiv_100k,,,,estimated_tbhiv_death_rate
2008,estimated_tbhiv_death_rate,Estimated HIV-associated TB mortality rate,119.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_tbhiv_100k,,,,estimated_tbhiv_death_rate
2009,estimated_tbhiv_death_rate,Estimated HIV-associated TB mortality rate,117.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_tbhiv_100k,,,,estimated_tbhiv_death_rate
