year,estimated_incidence_num,estimated_incidence_rate,estimated_tb_death_rate_excl_hiv,estimated_tb_deaths_excl_hiv_num,estimated_tbhiv_death_rate,estimated_tbhiv_deaths_num,estimated_tbhiv_incidence_num,estimated_tbhiv_incidence_rate,notification_incidence_gap,notification_rate,notification_to_incidence_ratio,notifications,population
1980,,,,,,,,,,,,11049.0,
1981,,,,,,,,,,,,10027.0,
1983,,,,,,,,,,,,11966.0,
1985,,,,,,,,,,,,10460.0,
1986,,,,,,,,,,,,10022.0,
1987,,,,,,,,,,,,10515.0,
1988,,,,,,,,,,,,10957.0,
1989,,,,,,,,,,,,12592.0,
1990,,,,,,,,,,,,11788.0,
1991,,,,,,,,,,,,12320.0,
1992,,,,,,,,,,,,14599.0,
1993,,,,,,,,,,,,20451.0,
1994,,,,,,,,,,,,22930.0,
1995,,,,,,,,,,,,28142.0,
1996,,,,,,,,,,,,34980.0,
1997,,,,,,,,,,,,39738.0,
1998,,,,,,,,,,,,48936.0,
1999,,,,,,,,,,,,57266.0,
2000,138000.0,451.0,41.0,13000.0,142.0,44000.0,95000.0,309.0,73841.0,209.37648596883184,46.49202898550725,64159.0,30642887.0
2001,158000.0,499.0,52.0,17000.0,143.0,45000.0,98000.0,310.0,84983.0,230.9262849028253,46.21329113924051,73017.0,31619181.0
2002,174000.0,534.0,61.0,20000.0,141.0,46000.0,100000.0,306.0,93817.0,245.73535776387106,46.08218390804598,80183.0,32629818.0
2003,205000.0,610.0,73.0,25000.0,153.0,51000.0,111000.0,329.0,110817.0,279.8716054873889,45.942926829268295,94183.0,33652217.0
2004,220000.0,634.0,78.0,27000.0,153.0,53000.0,114000.0,329.0,119427.0,289.72339399809096,45.715,100573.0,34713455.0
2005,225000.0,630.0,77.0,27000.0,151.0,54000.0,116000.0,325.0,122320.0,286.84381404609456,45.635555555555555,102680.0,35796484.0
2006,239000.0,646.0,78.0,29000.0,157.0,58000.0,124000.0,337.0,130658.0,293.577836469379,45.33138075313807,108342.0,36904012.0
2007,235000.0,618.0,81.0,31000.0,138.0,53000.0,112000.0,296.0,128562.0,279.8323477234117,45.292765957446804,106438.0,38036346.0
2008,221000.0,564.0,78.0,31000.0,119.0,47000.0,100000.0,254.0,121059.0,254.9102247513362,45.222171945701355,99941.0,39206352.0
2009,229000.0,566.0,80.0,32000.0,117.0,47000.0,101000.0,249.0,126003.0,254.8869689374309,44.97685589519651,102997.0,40408892.0
2010,221000.0,531.0,79.0,33000.0,102.0,43000.0,91000.0,218.0,121728.0,238.6428531523348,44.91945701357466,99272.0,41598564.0
2011,217000.0,506.0,77.0,33000.0,93.0,40000.0,85000.0,199.0,119680.0,227.60408648029156,44.84792626728111,97320.0,42758459.0
2012,207000.0,471.0,74.0,32000.0,84.0,37000.0,79000.0,179.0,114013.0,211.87197607307425,44.92125603864734,92987.0,43888296.0
2013,199000.0,443.0,70.0,31000.0,78.0,35000.0,75000.0,166.0,109204.0,199.60528852206906,45.12361809045226,89796.0,44986784.0
2014,195000.0,423.0,69.0,32000.0,70.0,32000.0,69000.0,150.0,106975.0,191.1449291362069,45.14102564102564,88025.0,46051444.0
2015,179000.0,380.0,64.0,30000.0,59.0,28000.0,60000.0,126.0,97708.0,172.63651737192652,45.4145251396648,81292.0,47088531.0
2016,168000.0,348.0,60.0,29000.0,51.0,24000.0,53000.0,109.0,91665.0,158.56979867171543,45.4375,76335.0,48139684.0
2017,157000.0,319.0,50.0,25000.0,38.0,18000.0,45000.0,91.0,73401.0,169.92438233882407,53.24777070063694,83599.0,49197766.0
2018,146000.0,292.0,38.0,19000.0,26.0,13000.0,40000.0,79.0,51466.0,188.28808064388016,64.74931506849315,94534.0,50207108.0
2019,137000.0,267.0,37.0,19000.0,25.0,13000.0,36000.0,70.0,52655.0,164.72720699937807,61.56569343065693,84345.0,51202835.0
2020,129000.0,248.0,38.0,20000.0,22.0,12000.0,32000.0,62.0,57940.0,136.08506032507478,55.08527131782945,71060.0,52217341.0
2021,132000.0,247.0,40.0,21000.0,22.0,12000.0,32000.0,60.0,55990.0,142.82449350058363,57.58333333333333,76010.0,53219163.0
2022,129000.0,238.0,31.0,17000.0,17.0,9100.0,29000.0,54.0,40310.0,163.47643994652705,68.75193798449612,88690.0,54252466.0
2023,119000.0,214.0,28.0,15000.0,14.0,7700.0,25000.0,46.0,24347.0,171.04210055666522,79.54033613445378,94653.0,55339007.0
2024,117000.0,207.0,29.0,16000.0,14.0,8000.0,25000.0,44.0,22167.0,168.04546238178645,81.05384615384615,94833.0,56432943.0
