year,source_variable,value
2004,new_labconf,41167.0
2005,new_labconf,40389.0
2006,new_labconf,39154.0
2007,new_labconf,41945.0
2008,new_labconf,40170.0
2009,new_labconf,37402.0
2010,new_labconf,40173.0
2011,new_labconf,37085.0
2012,new_labconf,36937.0
2013,new_labconf,34686.0
2014,new_labconf,34997.0
2015,new_labconf,36817.0
2016,new_labconf,40934.0
2017,new_labconf,44365.0
2018,new_labconf,44090.0
2019,new_labconf,43565.0
2020,new_labconf,38402.0
2021,new_labconf,39351.0
2022,new_labconf,42828.0
2023,new_labconf,43730.0
2024,new_labconf,44362.0
2013,ret_rel_labconf,4632.0
2014,ret_rel_labconf,3569.0
2015,ret_rel_labconf,2949.0
2016,ret_rel_labconf,3280.0
2017,ret_rel_labconf,2510.0
2018,ret_rel_labconf,2949.0
2019,ret_rel_labconf,2974.0
2020,ret_rel_labconf,2980.0
2021,ret_rel_labconf,2648.0
2022,ret_rel_labconf,3077.0
2023,ret_rel_labconf,3244.0
2024,ret_rel_labconf,4081.0
2015,rdx_data_available,60.0
2016,rdx_data_available,60.0
2017,rdx_data_available,60.0
2018,rdx_data_available,60.0
2019,rdx_data_available,60.0
2020,rdx_data_available,60.0
2021,rdx_data_available,60.0
2022,rdx_data_available,62.0
2023,rdx_data_available,62.0
2024,rdx_data_available,62.0
2022,newinc_pulm_labconf_rdx,26374.0
2023,newinc_pulm_labconf_rdx,34283.0
2024,newinc_pulm_labconf_rdx,40880.0
2022,nrr_tx,62688.0
2023,nrr_tx,96644.0
2024,nrr_tx,96672.0
2013,rdst_new,36.0
2014,rdst_new,0.0
2015,rdst_new,5718.0
2016,rdst_new,18375.0
2017,rdst_new,36650.0
2018,rdst_new,39908.0
2013,rdst_ret,316.0
2014,rdst_ret,7436.0
2015,rdst_ret,1963.0
2016,rdst_ret,2509.0
2017,rdst_ret,2927.0
2018,rdst_ret,4638.0
2013,rdst_unk,69.0
2014,rdst_unk,0.0
2015,rdst_unk,640.0
2016,rdst_unk,0.0
2017,rdst_unk,21.0
2018,rdst_unk,27.0
