year,indicator_id,indicator_name,value,unit,source,source_variable,lower,upper,notes
2000,population,Population,30642887.0,people,WHO Global TB Database: burden estimates,e_pop_num,,,
2001,population,Population,31619181.0,people,WHO Global TB Database: burden estimates,e_pop_num,,,
2002,population,Population,32629818.0,people,WHO Global TB Database: burden estimates,e_pop_num,,,
2003,population,Population,33652217.0,people,WHO Global TB Database: burden estimates,e_pop_num,,,
2004,population,Population,34713455.0,people,WHO Global TB Database: burden estimates,e_pop_num,,,
2005,population,Population,35796484.0,people,WHO Global TB Database: burden estimates,e_pop_num,,,
2006,population,Population,36904012.0,people,WHO Global TB Database: burden estimates,e_pop_num,,,
2007,population,Population,38036346.0,people,WHO Global TB Database: burden estimates,e_pop_num,,,
2008,population,Population,39206352.0,people,WHO Global TB Database: burden estimates,e_pop_num,,,
2009,population,Population,40408892.0,people,WHO Global TB Database: burden estimates,e_pop_num,,,
2010,population,Population,41598564.0,people,WHO Global TB Database: burden estimates,e_pop_num,,,
2011,population,Population,42758459.0,people,WHO Global TB Database: burden estimates,e_pop_num,,,
2012,population,Population,43888296.0,people,WHO Global TB Database: burden estimates,e_pop_num,,,
2013,population,Population,44986784.0,people,WHO Global TB Database: burden estimates,e_pop_num,,,
2014,population,Population,46051444.0,people,WHO Global TB Database: burden estimates,e_pop_num,,,
2015,population,Population,47088531.0,people,WHO Global TB Database: burden estimates,e_pop_num,,,
2016,population,Population,48139684.0,people,WHO Global TB Database: burden estimates,e_pop_num,,,
2017,population,Population,49197766.0,people,WHO Global TB Database: burden estimates,e_pop_num,,,
2018,population,Population,50207108.0,people,WHO Global TB Database: burden estimates,e_pop_num,,,
2019,population,Population,51202835.0,people,WHO Global TB Database: burden estimates,e_pop_num,,,
2020,population,Population,52217341.0,people,WHO Global TB Database: burden estimates,e_pop_num,,,
2021,population,Population,53219163.0,people,WHO Global TB Database: burden estimates,e_pop_num,,,
2022,population,Population,54252466.0,people,WHO Global TB Database: burden estimates,e_pop_num,,,
2023,population,Population,55339007.0,people,WHO Global TB Database: burden estimates,e_pop_num,,,
2024,population,Population,56432943.0,people,WHO Global TB Database: burden estimates,e_pop_num,,,
2000,estimated_incidence_num,Estimated TB incidence,138000.0,people,WHO Global TB Database: burden estimates,e_inc_num,56000.0,257000.0,
2001,estimated_incidence_num,Estimated TB incidence,158000.0,people,WHO Global TB Database: burden estimates,e_inc_num,56000.0,310000.0,
2002,estimated_incidence_num,Estimated TB incidence,174000.0,people,WHO Global TB Database: burden estimates,e_inc_num,57000.0,356000.0,
2003,estimated_incidence_num,Estimated TB incidence,205000.0,people,WHO Global TB Database: burden estimates,e_inc_num,54000.0,455000.0,
2004,estimated_incidence_num,Estimated TB incidence,220000.0,people,WHO Global TB Database: burden estimates,e_inc_num,54000.0,500000.0,
2005,estimated_incidence_num,Estimated TB incidence,225000.0,people,WHO Global TB Database: burden estimates,e_inc_num,56000.0,510000.0,
2006,estimated_incidence_num,Estimated TB incidence,239000.0,people,WHO Global TB Database: burden estimates,e_inc_num,56000.0,549000.0,
2007,estimated_incidence_num,Estimated TB incidence,235000.0,people,WHO Global TB Database: burden estimates,e_inc_num,60000.0,525000.0,
2008,estimated_incidence_num,Estimated TB incidence,221000.0,people,WHO Global TB Database: burden estimates,e_inc_num,66000.0,467000.0,
2009,estimated_incidence_num,Estimated TB incidence,229000.0,people,WHO Global TB Database: burden estimates,e_inc_num,68000.0,484000.0,
2010,estimated_incidence_num,Estimated TB incidence,221000.0,people,WHO Global TB Database: burden estimates,e_inc_num,73000.0,449000.0,
2011,estimated_incidence_num,Estimated TB incidence,217000.0,people,WHO Global TB Database: burden estimates,e_inc_num,76000.0,429000.0,
2012,estimated_incidence_num,Estimated TB incidence,207000.0,people,WHO Global TB Database: burden estimates,e_inc_num,79000.0,394000.0,
2013,estimated_incidence_num,Estimated TB incidence,199000.0,people,WHO Global TB Database: burden estimates,e_inc_num,82000.0,367000.0,
2014,estimated_incidence_num,Estimated TB incidence,195000.0,people,WHO Global TB Database: burden estimates,e_inc_num,84000.0,351000.0,
2015,estimated_incidence_num,Estimated TB incidence,179000.0,people,WHO Global TB Database: burden estimates,e_inc_num,86000.0,307000.0,
2016,estimated_incidence_num,Estimated TB incidence,168000.0,people,WHO Global TB Database: burden estimates,e_inc_num,86000.0,276000.0,
2017,estimated_incidence_num,Estimated TB incidence,157000.0,people,WHO Global TB Database: burden estimates,e_inc_num,86000.0,248000.0,
2018,estimated_incidence_num,Estimated TB incidence,146000.0,people,WHO Global TB Database: burden estimates,e_inc_num,85000.0,224000.0,
2019,estimated_incidence_num,Estimated TB incidence,137000.0,people,WHO Global TB Database: burden estimates,e_inc_num,84000.0,203000.0,
2020,estimated_incidence_num,Estimated TB incidence,129000.0,people,WHO Global TB Database: burden estimates,e_inc_num,79000.0,197000.0,
2021,estimated_incidence_num,Estimated TB incidence,132000.0,people,WHO Global TB Database: burden estimates,e_inc_num,77000.0,201000.0,
2022,estimated_incidence_num,Estimated TB incidence,129000.0,people,WHO Global TB Database: burden estimates,e_inc_num,74000.0,204000.0,
2023,estimated_incidence_num,Estimated TB incidence,119000.0,people,WHO Global TB Database: burden estimates,e_inc_num,65000.0,190000.0,
2024,estimated_incidence_num,Estimated TB incidence,117000.0,people,WHO Global TB Database: burden estimates,e_inc_num,61000.0,191000.0,
2000,estimated_incidence_rate,Estimated TB incidence rate,451.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,182.0,839.0,
2001,estimated_incidence_rate,Estimated TB incidence rate,499.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,178.0,982.0,
2002,estimated_incidence_rate,Estimated TB incidence rate,534.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,174.0,1090.0,
2003,estimated_incidence_rate,Estimated TB incidence rate,610.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,161.0,1350.0,
2004,estimated_incidence_rate,Estimated TB incidence rate,634.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,155.0,1440.0,
2005,estimated_incidence_rate,Estimated TB incidence rate,630.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,156.0,1420.0,
2006,estimated_incidence_rate,Estimated TB incidence rate,646.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,153.0,1490.0,
2007,estimated_incidence_rate,Estimated TB incidence rate,618.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,159.0,1380.0,
2008,estimated_incidence_rate,Estimated TB incidence rate,564.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,169.0,1190.0,
2009,estimated_incidence_rate,Estimated TB incidence rate,566.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,169.0,1200.0,
2010,estimated_incidence_rate,Estimated TB incidence rate,531.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,174.0,1080.0,
2011,estimated_incidence_rate,Estimated TB incidence rate,506.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,177.0,1000.0,
2012,estimated_incidence_rate,Estimated TB incidence rate,471.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,181.0,897.0,
2013,estimated_incidence_rate,Estimated TB incidence rate,443.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,182.0,816.0,
2014,estimated_incidence_rate,Estimated TB incidence rate,423.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,183.0,761.0,
2015,estimated_incidence_rate,Estimated TB incidence rate,380.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,182.0,651.0,
2016,estimated_incidence_rate,Estimated TB incidence rate,348.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,179.0,573.0,
2017,estimated_incidence_rate,Estimated TB incidence rate,319.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,175.0,505.0,
2018,estimated_incidence_rate,Estimated TB incidence rate,292.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,170.0,446.0,
2019,estimated_incidence_rate,Estimated TB incidence rate,267.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,163.0,396.0,
2020,estimated_incidence_rate,Estimated TB incidence rate,248.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,150.0,377.0,
2021,estimated_incidence_rate,Estimated TB incidence rate,247.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,145.0,377.0,
2022,estimated_incidence_rate,Estimated TB incidence rate,238.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,136.0,375.0,
