year,indicator_id,indicator_name,value,unit,source,source_variable,lower,upper,notes
1980,notifications,New and relapse TB notifications,11049.0,people,WHO Global TB Database: case notifications,c_newinc,,,Reported surveillance/programme observations.
1981,notifications,New and relapse TB notifications,10027.0,people,WHO Global TB Database: case notifications,c_newinc,,,Reported surveillance/programme observations.
1982,notifications,New and relapse TB notifications,,people,WHO Global TB Database: case notifications,c_newinc,,,Reported surveillance/programme observations.
1983,notifications,New and relapse TB notifications,11966.0,people,WHO Global TB Database: case notifications,c_newinc,,,Reported surveillance/programme observations.
1984,notifications,New and relapse TB notifications,,people,WHO Global TB Database: case notifications,c_newinc,,,Reported surveillance/programme observations.
1985,notifications,New and relapse TB notifications,10460.0,people,WHO Global TB Database: case notifications,c_newinc,,,Reported surveillance/programme observations.
1986,notifications,New and relapse TB notifications,10022.0,people,WHO Global TB Database: case notifications,c_newinc,,,Reported surveillance/programme observations.
1987,notifications,New and relapse TB notifications,10515.0,people,WHO Global TB Database: case notifications,c_newinc,,,Reported surveillance/programme observations.
1988,notifications,New and relapse TB notifications,10957.0,people,WHO Global TB Database: case notifications,c_newinc,,,Reported surveillance/programme observations.
1989,notifications,New and relapse TB notifications,12592.0,people,WHO Global TB Database: case notifications,c_newinc,,,Reported surveillance/programme observations.
1990,notifications,New and relapse TB notifications,11788.0,people,WHO Global TB Database: case notifications,c_newinc,,,Reported surveillance/programme observations.
1991,notifications,New and relapse TB notifications,12320.0,people,WHO Global TB Database: case notifications,c_newinc,,,Reported surveillance/programme observations.
1992,notifications,New and relapse TB notifications,14599.0,people,WHO Global TB Database: case notifications,c_newinc,,,Reported surveillance/programme observations.
1993,notifications,New and relapse TB notifications,20451.0,people,WHO Global TB Database: case notifications,c_newinc,,,Reported surveillance/programme observations.
1994,notifications,New and relapse TB notifications,22930.0,people,WHO Global TB Database: case notifications,c_newinc,,,Reported surveillance/programme observations.
1995,notifications,New and relapse TB notifications,28142.0,people,WHO Global TB Database: case notifications,c_newinc,,,Reported surveillance/programme observations.
1996,notifications,New and relapse TB notifications,34980.0,people,WHO Global TB Database: case notifications,c_newinc,,,Reported surveillance/programme observations.
1997,notifications,New and relapse TB notifications,39738.0,people,WHO Global TB Database: case notifications,c_newinc,,,Reported surveillance/programme observations.
1998,notifications,New and relapse TB notifications,48936.0,people,WHO Global TB Database: case notifications,c_newinc,,,Reported surveillance/programme observations.
1999,notifications,New and relapse TB notifications,57266.0,people,WHO Global TB Database: case notifications,c_newinc,,,Reported surveillance/programme observations.
