country,est_iso2,iso3,est_iso_numeric,est_g_whoregion,year,est_e_pop_num,est_e_inc_100k,est_e_inc_100k_lo,est_e_inc_100k_hi,est_e_inc_num,est_e_inc_num_lo,est_e_inc_num_hi,est_e_tbhiv_prct,est_e_inc_tbhiv_100k,est_e_inc_tbhiv_100k_lo,est_e_inc_tbhiv_100k_hi,est_e_inc_tbhiv_num,est_e_inc_tbhiv_num_lo,est_e_inc_tbhiv_num_hi,est_e_mort_exc_tbhiv_100k,est_e_mort_exc_tbhiv_100k_lo,est_e_mort_exc_tbhiv_100k_hi,est_e_mort_exc_tbhiv_num,est_e_mort_exc_tbhiv_num_lo,est_e_mort_exc_tbhiv_num_hi,est_e_mort_tbhiv_100k,est_e_mort_tbhiv_100k_lo,est_e_mort_tbhiv_100k_hi,est_e_mort_tbhiv_num,est_e_mort_tbhiv_num_lo,est_e_mort_tbhiv_num_hi,est_e_mort_100k,est_e_mort_100k_lo,est_e_mort_100k_hi,est_e_mort_num,est_e_mort_num_lo,est_e_mort_num_hi,est_cfr,est_cfr_lo,est_cfr_hi,est_cfr_pct,est_cfr_pct_lo,est_cfr_pct_hi,est_c_newinc_100k,est_c_cdr,est_c_cdr_lo,est_c_cdr_hi,notif_iso2,notif_iso_numeric,notif_g_whoregion,notif_new_sp,notif_new_sn,notif_new_su,notif_new_ep,notif_new_oth,notif_ret_rel,notif_ret_taf,notif_ret_tad,notif_ret_oth,notif_newret_oth,notif_new_labconf,notif_new_clindx,notif_ret_rel_labconf,notif_ret_rel_clindx,notif_ret_rel_ep,notif_ret_nrel,notif_notif_foreign,notif_c_newinc,notif_new_sp_m04,notif_new_sp_m514,notif_new_sp_m014,notif_new_sp_m1524,notif_new_sp_m2534,notif_new_sp_m3544,notif_new_sp_m4554,notif_new_sp_m5564,notif_new_sp_m65,notif_new_sp_mu,notif_new_sp_f04,notif_new_sp_f514,notif_new_sp_f014,notif_new_sp_f1524,notif_new_sp_f2534,notif_new_sp_f3544,notif_new_sp_f4554,notif_new_sp_f5564,notif_new_sp_f65,notif_new_sp_fu,notif_new_sn_m04,notif_new_sn_m514,notif_new_sn_m014,notif_new_sn_m1524,notif_new_sn_m2534,notif_new_sn_m3544,notif_new_sn_m4554,notif_new_sn_m5564,notif_new_sn_m65,notif_new_sn_m15plus,notif_new_sn_mu,notif_new_sn_f04,notif_new_sn_f514,notif_new_sn_f014,notif_new_sn_f1524,notif_new_sn_f2534,notif_new_sn_f3544,notif_new_sn_f4554,notif_new_sn_f5564,notif_new_sn_f65,notif_new_sn_f15plus,notif_new_sn_fu,notif_new_ep_m514,notif_new_ep_m014,notif_new_ep_m1524,notif_new_ep_m2534,notif_new_ep_m3544,notif_new_ep_m4554,notif_new_ep_m5564,notif_new_ep_m65,notif_new_ep_m15plus,notif_new_ep_mu,notif_new_ep_f04,notif_new_ep_f514,notif_new_ep_f014,notif_new_ep_f1524,notif_new_ep_f2534,notif_new_ep_f3544,notif_new_ep_f4554,notif_new_ep_f5564,notif_new_ep_f65,notif_new_ep_f15plus,notif_new_ep_fu,notif_rel_in_agesex_flg,notif_agegroup_option,notif_newrel_m04,notif_newrel_m59,notif_newrel_m1014,notif_newrel_m514,notif_newrel_m014,notif_newrel_m1519,notif_newrel_m2024,notif_newrel_m1524,notif_newrel_m2534,notif_newrel_m3544,notif_newrel_m4554,notif_newrel_m5564,notif_newrel_m65,notif_newrel_m15plus,notif_newrel_mu,notif_newrel_f04,notif_newrel_f59,notif_newrel_f1014,notif_newrel_f514,notif_newrel_f014,notif_newrel_f1519,notif_newrel_f2024,notif_newrel_f1524,notif_newrel_f2534,notif_newrel_f3544,notif_newrel_f4554,notif_newrel_f5564,notif_newrel_f65,notif_newrel_f15plus,notif_newrel_fu,notif_rdx_data_available,notif_newinc_rdx,notif_newinc_pulm_labconf_rdx,notif_newinc_pulm_clindx_rdx,notif_newinc_ep_rdx,notif_nrr,notif_nrr_tx,notif_rdst_new,notif_rdst_ret,notif_rdst_unk,notif_conf_rrmdr,notif_conf_mdr,notif_rr_sldst,notif_all_conf_xdr,notif_conf_rr_nfqr,notif_conf_rr_fqr,notif_unconf_rrmdr_tx,notif_conf_rrmdr_tx,notif_rrmdr_014_tx,notif_rr_nfqr_014_tx,notif_unconf_mdr_tx,notif_conf_mdr_tx,notif_conf_xdr_tx,notif_unconf_rr_nfqr_tx,notif_conf_rr_nfqr_tx,notif_conf_rr_fqr_tx,notif_nrr_hpmz_used,notif_nrr_2hrze2hr_used,notif_nrr_2hrze2hr_tx,notif_mdrxdr_bpalm_used,notif_mdrxdr_bdq_used,notif_mdrxdr_bdq_tx,notif_mdrxdr_alloral_used,notif_mdrxdr_alloral_tx,notif_mdrxdr_dlm_used,notif_mdrxdr_dlm_tx,notif_mdr_shortreg_used,notif_mdr_shortreg_tx,notif_mdr_tx_adverse_events,notif_mdr_alloral_short_used,notif_mdr_alloral_short_tx,notif_dr_6m_used,notif_dr_6m_tx,notif_dr_9m_used,notif_dr_9m_tx,notif_dr_18mplus_used,notif_dr_18mplus_tx,notif_mdr_tx_adsm,notif_newrel_tbhiv_flg,notif_newrel_hivtest,notif_newrel_hivpos,notif_newrel_art,notif_tbhiv_014_flg,notif_newrel_hivtest_014,notif_newrel_hivpos_014,notif_newrel_art_014,notif_hivtest,notif_hivtest_pos,notif_hiv_cpt,notif_hiv_art,notif_hiv_tbscr,notif_hiv_reg,notif_hiv_ipt,notif_hiv_reg_new,notif_hiv_ipt_reg_all,notif_hiv_reg_all,notif_hiv_tbdetect,notif_hiv_reg_new2,notif_hiv_elig_all_tpt,notif_hiv_elig_all,notif_hiv_elig_new_tpt,notif_hiv_elig_new,notif_hiv_all_tpt,notif_hiv_all,notif_hiv_new_tpt,notif_hiv_new,notif_hiv_all_tpt_completed,notif_hiv_all_tpt_started,outc_iso2,outc_iso_numeric,outc_g_whoregion,outc_rep_meth,outc_new_sp_coh,outc_new_sp_cur,outc_new_sp_cmplt,outc_new_sp_died,outc_new_sp_fail,outc_new_sp_def,outc_c_new_sp_tsr,outc_new_snep_coh,outc_new_snep_cmplt,outc_new_snep_died,outc_new_snep_fail,outc_new_snep_def,outc_c_new_snep_tsr,outc_ret_coh,outc_ret_cur,outc_ret_cmplt,outc_ret_died,outc_ret_fail,outc_ret_def,outc_hiv_new_sp_coh,outc_hiv_new_sp_cur,outc_hiv_new_sp_cmplt,outc_hiv_new_sp_died,outc_hiv_new_sp_fail,outc_hiv_new_sp_def,outc_hiv_new_snep_coh,outc_hiv_new_snep_cmplt,outc_hiv_new_snep_died,outc_hiv_new_snep_fail,outc_hiv_new_snep_def,outc_hiv_ret_coh,outc_hiv_ret_cur,outc_hiv_ret_cmplt,outc_hiv_ret_died,outc_hiv_ret_fail,outc_hiv_ret_def,outc_rel_with_new_flg,outc_used_2021_defs_flg,outc_newrel_coh,outc_newrel_succ,outc_newrel_fail,outc_newrel_died,outc_newrel_lost,outc_c_new_tsr,outc_ret_nrel_coh,outc_ret_nrel_succ,outc_ret_nrel_fail,outc_ret_nrel_died,outc_ret_nrel_lost,outc_c_ret_tsr,outc_tbhiv_coh,outc_tbhiv_succ,outc_tbhiv_fail,outc_tbhiv_died,outc_tbhiv_lost,outc_c_tbhiv_tsr,outc_mdr_coh,outc_mdr_succ,outc_mdr_fail,outc_mdr_died,outc_mdr_lost,outc_xdr_coh,outc_xdr_succ,outc_xdr_fail,outc_xdr_died,outc_xdr_lost
Kenya,,KEN,,,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KE,404,AFR,,,,,,,,,,,,,,,,,,11049.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,,KEN,,,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KE,404,AFR,,,,,,,,,,,,,,,,,,10027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,,KEN,,,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KE,404,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,,KEN,,,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KE,404,AFR,,,,,,,,,,,,,,,,,,11966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,,KEN,,,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KE,404,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,,KEN,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KE,404,AFR,,,,,,,,,,,,,,,,,,10460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,,KEN,,,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KE,404,AFR,,,,,,,,,,,,,,,,,,10022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,,KEN,,,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KE,404,AFR,5900.0,,,,,,,,,,,,,,,,,10515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,,KEN,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KE,404,AFR,6400.0,,,,,,,,,,,,,,,,,10957.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,,KEN,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KE,404,AFR,6600.0,,,,,,,,,,,,,,,,,12592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,,KEN,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KE,404,AFR,6800.0,,,,,,,,,,,,,,,,,11788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
