area_id,source,calendar_quarter,sex,age_group,population,area_name,asfr,county
KEN_2_01,KNBS Census 2019,CY2010Q2,female,Y000_004,64971,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,female,Y005_009,50182,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,female,Y010_014,42138,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,female,Y015_019,49020,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,female,Y020_024,70167,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,female,Y025_029,62832,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,female,Y030_034,39347,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,female,Y035_039,28178,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,female,Y040_044,17271,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,female,Y045_049,11816,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,female,Y050_054,7980,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,female,Y055_059,6036,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,female,Y060_064,3990,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,female,Y065_069,2861,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,female,Y070_074,2050,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,female,Y075_079,1302,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,female,Y080_999,2146,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,male,Y000_004,66036,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,male,Y005_009,50191,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,male,Y010_014,40947,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,male,Y015_019,41790,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,male,Y020_024,60968,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,male,Y025_029,62128,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,male,Y030_034,52869,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,male,Y035_039,41414,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,male,Y040_044,27175,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,male,Y045_049,19102,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,male,Y050_054,13086,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2010Q2,male,Y055_059,8290,Mombasa,,Mombasa
