country,iso2,iso3,iso_numeric,g_whoregion,year,e_pop_num,e_inc_100k,e_inc_100k_lo,e_inc_100k_hi,e_inc_num,e_inc_num_lo,e_inc_num_hi,e_tbhiv_prct,e_inc_tbhiv_100k,e_inc_tbhiv_100k_lo,e_inc_tbhiv_100k_hi,e_inc_tbhiv_num,e_inc_tbhiv_num_lo,e_inc_tbhiv_num_hi,e_mort_exc_tbhiv_100k,e_mort_exc_tbhiv_100k_lo,e_mort_exc_tbhiv_100k_hi,e_mort_exc_tbhiv_num,e_mort_exc_tbhiv_num_lo,e_mort_exc_tbhiv_num_hi,e_mort_tbhiv_100k,e_mort_tbhiv_100k_lo,e_mort_tbhiv_100k_hi,e_mort_tbhiv_num,e_mort_tbhiv_num_lo,e_mort_tbhiv_num_hi,e_mort_100k,e_mort_100k_lo,e_mort_100k_hi,e_mort_num,e_mort_num_lo,e_mort_num_hi,cfr,cfr_lo,cfr_hi,cfr_pct,cfr_pct_lo,cfr_pct_hi,c_newinc_100k,c_cdr,c_cdr_lo,c_cdr_hi
Kenya,KE,KEN,404,AFR,2000,30642887,451.0,182.0,839.0,138000.0,56000.0,257000.0,69.0,309.0,116.0,597.0,95000.0,35000.0,183000.0,41.0,15.0,80.0,13000.0,4600.0,24000.0,142.0,56.0,268.0,44000.0,17000.0,82000.0,183.0,89.0,311.0,56000.0,27000.0,95000.0,0.46,0.11,0.84,46.0,11.0,84.0,209.0,46.0,25.0,120.0
Kenya,KE,KEN,404,AFR,2001,31619181,499.0,178.0,982.0,158000.0,56000.0,310000.0,62.0,310.0,100.0,637.0,98000.0,32000.0,201000.0,52.0,21.0,98.0,17000.0,6500.0,31000.0,143.0,49.0,285.0,45000.0,16000.0,90000.0,195.0,90.0,340.0,62000.0,28000.0,107000.0,0.46,0.09,0.86,46.0,9.0,86.0,231.0,46.0,24.0,130.0
Kenya,KE,KEN,404,AFR,2002,32629818,534.0,174.0,1090.0,174000.0,57000.0,356000.0,57.0,306.0,87.0,657.0,100000.0,29000.0,215000.0,61.0,25.0,112.0,20000.0,8200.0,37000.0,141.0,44.0,295.0,46000.0,14000.0,96000.0,202.0,91.0,358.0,66000.0,30000.0,117000.0,0.45,0.08,0.86,45.0,8.0,86.0,246.0,46.0,23.0,140.0
Kenya,KE,KEN,404,AFR,2003,33652217,610.0,161.0,1350.0,205000.0,54000.0,455000.0,54.0,329.0,74.0,770.0,111000.0,25000.0,259000.0,73.0,31.0,134.0,25000.0,10000.0,45000.0,153.0,38.0,344.0,51000.0,13000.0,116000.0,226.0,92.0,418.0,76000.0,31000.0,141000.0,0.47,0.06,0.9,47.0,6.0,90.0,280.0,46.0,21.0,170.0
Kenya,KE,KEN,404,AFR,2004,34713455,634.0,155.0,1440.0,220000.0,54000.0,500000.0,52.0,329.0,68.0,792.0,114000.0,23000.0,275000.0,78.0,33.0,142.0,27000.0,12000.0,49000.0,153.0,35.0,354.0,53000.0,12000.0,123000.0,231.0,92.0,432.0,80000.0,32000.0,150000.0,0.47,0.06,0.91,47.0,6.0,91.0,290.0,46.0,20.0,190.0
Kenya,KE,KEN,404,AFR,2005,35796484,630.0,156.0,1420.0,225000.0,56000.0,510000.0,52.0,325.0,67.0,780.0,116000.0,24000.0,279000.0,77.0,32.0,140.0,27000.0,12000.0,50000.0,151.0,35.0,350.0,54000.0,13000.0,125000.0,228.0,91.0,427.0,82000.0,32000.0,153000.0,0.46,0.06,0.9,46.0,6.0,90.0,287.0,46.0,20.0,180.0
Kenya,KE,KEN,404,AFR,2006,36904012,646.0,153.0,1490.0,239000.0,56000.0,549000.0,52.0,337.0,76.0,786.0,124000.0,28000.0,290000.0,78.0,44.0,122.0,29000.0,16000.0,45000.0,157.0,40.0,352.0,58000.0,15000.0,130000.0,235.0,101.0,426.0,87000.0,37000.0,157000.0,0.47,0.06,0.91,47.0,6.0,91.0,294.0,45.0,20.0,190.0
Kenya,KE,KEN,404,AFR,2007,38036346,618.0,159.0,1380.0,235000.0,60000.0,525000.0,48.0,296.0,73.0,671.0,112000.0,28000.0,255000.0,81.0,45.0,127.0,31000.0,17000.0,48000.0,138.0,38.0,302.0,53000.0,14000.0,115000.0,219.0,102.0,381.0,83000.0,39000.0,145000.0,0.45,0.08,0.87,45.0,8.0,87.0,280.0,45.0,20.0,180.0
Kenya,KE,KEN,404,AFR,2008,39206352,564.0,169.0,1190.0,221000.0,66000.0,467000.0,45.0,254.0,73.0,545.0,100000.0,29000.0,214000.0,78.0,44.0,123.0,31000.0,17000.0,48000.0,119.0,37.0,247.0,47000.0,15000.0,97000.0,197.0,100.0,326.0,77000.0,39000.0,128000.0,0.43,0.09,0.81,43.0,9.0,81.0,255.0,45.0,21.0,150.0
Kenya,KE,KEN,404,AFR,2009,40408892,566.0,169.0,1200.0,229000.0,68000.0,484000.0,44.0,249.0,71.0,535.0,101000.0,29000.0,216000.0,80.0,45.0,125.0,32000.0,18000.0,51000.0,117.0,37.0,243.0,47000.0,15000.0,98000.0,197.0,101.0,324.0,79000.0,41000.0,131000.0,0.43,0.09,0.81,43.0,9.0,81.0,255.0,45.0,21.0,150.0
