"Population by Sex, Households, Land Area, Density by County",,,,,,,,,
,,,,,,,,,
,Total,Sex,,,Households,,,Land Area,Density
County,,Male,Female,Intersex,Total,Conventional,Group quarters,Sq Km,Persons per Sq. Km
KENYA,47564296,23548056,24014716,1524,12143913,12043016,100897,580895.36363,81.88100470069506
    MOMBASA,1208333,610257,598046,30,378422,376295,2127,219.89648,5495.008378487914
    KWALE,866820,425121,441681,18,173176,172802,374,8253.65541,105.02255751430748
    KILIFI,1453787,704089,749673,25,298472,297990,482,12553.26504,115.80947230601927
    TANA RIVER,315943,158550,157391,2,68242,66984,1258,37903.62209,8.33543029871423
    LAMU,143920,76103,67813,4,37963,34231,3732,6283.02473,22.906164814665626
    TAITA/TAVETA,340671,173337,167327,7,96429,94468,1961,17152.00571,19.861875384135466
    GARISSA,841353,458975,382344,34,141394,138940,2454,44753.20037,18.79983985601162
    WAJIR,781263,415374,365840,49,127932,126878,1054,56773.81413,13.760974350095157
    MANDERA,867457,434976,432444,37,125763,123954,1809,25942.15093,33.43812941111433
    MARSABIT,459785,243548,216219,18,77495,76689,806,70944.26652,6.4809324636597845
    ISIOLO,268002,139510,128483,9,58072,53217,4855,25349.18759,10.572409827671326
    MERU,1545714,767698,777975,41,426360,423931,2429,7013.94615,220.37722659162418
    THARAKA-NITHI,393177,193764,199406,7,109860,109450,410,2564.35738,153.3237929574387
    EMBU,608599,304208,304367,24,182743,182427,316,2820.67485,215.76361415779633
    KITUI,1136187,549003,587151,33,262942,261814,1128,30429.60586,37.3382095459057
    MACHAKOS,1421932,710707,711191,34,402466,399523,2943,6037.26955,235.5256773320648
    MAKUENI,987653,489691,497942,20,244669,243979,690,8176.66642,120.78920054561796
    NYANDARUA,638289,315022,323247,20,179686,178224,1462,3285.75857,194.2592513728116
    NYERI,759164,374288,384845,31,248050,244564,3486,3324.98164,228.3212607453676
    KIRINYAGA,610411,302011,308369,31,204188,203576,612,1478.31076,412.9111527267785
    MURANG'A,1056640,523940,532669,31,318105,317496,609,2522.7671,418.8416758724973
    KIAMBU,2417735,1187146,1230454,135,795241,792333,2908,2538.69668,952.3528427192807
    TURKANA,926976,478087,448868,21,164519,162627,1892,68233.0758,13.585434763590122
    WEST POKOT,621241,307013,314213,15,116182,115761,421,9123.28014,68.09403969480651
    SAMBURU,310327,156774,153546,7,65910,63951,1959,21089.68545,14.714633878050561
    TRANS NZOIA,990341,489107,501206,28,223808,222989,819,2495.17422,396.9025457468858
    UASIN GISHU,1163186,580269,582889,28,304943,301110,3833,3398.61337,342.25311130344903
    ELGEYO/MARAKWET,454480,227317,227151,12,99861,99119,742,3032.05926,149.89152949471048
    NANDI,885711,441259,444430,22,199426,199040,386,2849.40171,310.84104318867696
    BARINGO,666763,336322,330428,13,142518,141877,641,10984.62209,60.6996758319976
    LAIKIPIA,518560,259440,259102,18,149271,145776,3495,9507.64111,54.54139402197103
    NAKURU,2162202,1077272,1084835,95,616046,598237,17809,7504.90539,288.1051642411178
    NAROK,1157873,579042,578805,26,241125,238115,3010,17931.68124,64.57135750423366
    KAJIADO,1117840,557098,560704,38,316179,313218,2961,21871.18482,51.110171177274154
    KERICHO,901777,450741,451008,28,206036,205932,104,2436.08845,370.17416177971694
    BOMET,875689,434287,441379,23,187641,187230,411,2507.07622,349.2869474865826
    KAKAMEGA,1867579,897133,970406,40,433207,432284,923,3016.62375,619.0957689038946
    VIHIGA,590013,283678,306323,12,143365,143288,77,563.75651,1046.5741672765782
    BUNGOMA,1670570,812146,858389,35,358796,357714,1082,3023.93798,552.4484996216754
    BUSIA,893681,426252,467401,28,198152,197944,208,1699.78361,525.7616291523132
    SIAYA,993183,471669,521496,18,250698,249341,1357,2529.73596,392.6034241138747
    KISUMU,1155574,560942,594609,23,300745,296846,3899,2085.43324,554.1169948935886
    HOMA BAY,1131950,539560,592367,23,262036,260290,1746,3152.52616,359.06125518082933
    MIGORI,1116436,536187,580214,35,240168,238133,2035,2613.4842,427.182991961459
    KISII,1266860,605784,661038,38,308054,307254,800,1323.27643,957.36610377017
    NYAMIRA,605576,290907,314656,13,150669,150499,170,897.32251,674.8699528333465
    NAIROBI CITY,4397073,2192452,2204376,245,1506888,1494676,12212,703.87005,6246.995450367579
Source: 2019 Kenya Population and Housing Census,,,,,,,,,
