"Population by Sex, Households, Land Area, Density by Sub-county",,,,,,,,,,
,,,,,,,,,,
Sub County,,Sex*,,,Households,,Land Area ,Density ,,*please refer to the Metadata sheet
,Total,Male,Female,Total,Conventional,Group quarters,Sq. Km,Persons Per Sq. Km,,
KENYA,47564296,23548056,24014716,12143913,12043016,100897,580895.36363,81.88100470069506,,
    MOMBASA,1208333,610257,598046,378422,376295,2127,219.89648,5495.008378487914,,
        CHANGAMWE,131882,68761,63121,46614,46439,175,17.68565,7457.006103818633,,
        JOMVU,163415,83002,80410,53472,53214,258,36.87009,4432.18337682387,,
        KISAUNI,291930,146748,145176,88202,88159,43,87.71644,3328.110443150679,,
        LIKONI,250358,126962,123392,81191,80002,1189,40.46363,6187.235302418492,,
        MVITA,154171,75565,78601,38995,38710,285,14.62293,10543.099091632115,,
        NYALI,216577,109219,107346,69948,69771,177,22.53775,9609.521802309459,,
    KWALE,866820,425121,441681,173176,172802,374,8253.65541,105.02255751430748,,
        KINANGO,94220,45413,48806,16043,16041,2,1612.22713,58.44089722023224,,
        LUNGA LUNGA,198423,97174,101245,37366,37276,90,2765.20796,71.75699002399804,,
        MATUGA,194252,95831,98419,39231,39124,107,1034.21242,187.82601740559255,,
        MSAMBWENI,177690,89206,88480,45466,45374,92,411.74858,431.54975786437444,,
        SAMBURU,202235,97497,104731,35070,34987,83,2430.25933,83.21539907430373,,
    KILIFI,1453787,704089,749673,298472,297990,482,12553.26504,115.80947230601927,,
        CHONYI,62335,29527,32807,11421,11416,5,192.6249,323.6082147219804,,
        GANZE,143906,66921,76981,23258,23197,61,3217.85699,44.72106760717169,,
        KALOLENI,193682,92614,101063,36355,36344,11,706.09151,274.30155618214417,,
        KAUMA,22638,10965,11673,3479,3479,-,181.36334,124.82125660014863,,
        KILIFI NORTH,178824,86986,91836,39512,39508,4,264.38849,676.3683245061085,,
        KILIFI SOUTH,206753,101852,104897,53074,53011,63,290.45791,711.8174196047888,,
        MAGARINI,191610,93302,98308,33017,32978,39,5229.3806,36.641050758477974,,
        MALINDI,333226,163351,169866,73547,73317,230,2263.27826,147.23156488941842,,
        RABAI,120813,58571,62242,24809,24740,69,207.82305,581.3262773306426,,
    TANA RIVER,315943,158550,157391,68242,66984,1258,37903.62209,8.33543029871423,,
        TANA DELTA,110640,55716,54924,22791,22395,396,15431.83314,7.169595406861689,,
