country,iso2,iso3,iso_numeric,g_whoregion,year,rep_meth,new_sp_coh,new_sp_cur,new_sp_cmplt,new_sp_died,new_sp_fail,new_sp_def,c_new_sp_tsr,new_snep_coh,new_snep_cmplt,new_snep_died,new_snep_fail,new_snep_def,c_new_snep_tsr,ret_coh,ret_cur,ret_cmplt,ret_died,ret_fail,ret_def,hiv_new_sp_coh,hiv_new_sp_cur,hiv_new_sp_cmplt,hiv_new_sp_died,hiv_new_sp_fail,hiv_new_sp_def,hiv_new_snep_coh,hiv_new_snep_cmplt,hiv_new_snep_died,hiv_new_snep_fail,hiv_new_snep_def,hiv_ret_coh,hiv_ret_cur,hiv_ret_cmplt,hiv_ret_died,hiv_ret_fail,hiv_ret_def,rel_with_new_flg,used_2021_defs_flg,newrel_coh,newrel_succ,newrel_fail,newrel_died,newrel_lost,c_new_tsr,ret_nrel_coh,ret_nrel_succ,ret_nrel_fail,ret_nrel_died,ret_nrel_lost,c_ret_tsr,tbhiv_coh,tbhiv_succ,tbhiv_fail,tbhiv_died,tbhiv_lost,c_tbhiv_tsr,mdr_coh,mdr_succ,mdr_fail,mdr_died,mdr_lost,xdr_coh,xdr_succ,xdr_fail,xdr_died,xdr_lost
Kenya,KE,KEN,404,AFR,1994,100.0,1479.0,887.0,197.0,152.0,23.0,145.0,73.0,,,,,,,933.0,86.0,30.0,13.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,,,,,12.0,,,,,,,,,,,,,,,,
Kenya,KE,KEN,404,AFR,1995,100.0,6470.0,3905.0,927.0,554.0,52.0,576.0,75.0,,,,,,,879.0,533.0,101.0,82.0,7.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,72.0,,,,,,,,,,,,,,,,
Kenya,KE,KEN,404,AFR,1996,100.0,12630.0,8038.0,1647.0,795.0,91.0,1147.0,77.0,,,,,,,1266.0,644.0,103.0,85.0,12.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,,,59.0,,,,,,,,,,,,,,,,
Kenya,KE,KEN,404,AFR,1997,100.0,19040.0,10073.0,2324.0,917.0,96.0,1414.0,65.0,,,,,,,1386.0,659.0,99.0,85.0,9.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,55.0,,,,,,,,,,,,,,,,
Kenya,KE,KEN,404,AFR,1998,100.0,21885.0,13892.0,2961.0,1166.0,94.0,2317.0,77.0,,,,,,,1541.0,842.0,144.0,104.0,12.0,161.0,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,,,64.0,,,,,,,,,,,,,,,,
Kenya,KE,KEN,404,AFR,1999,100.0,27417.0,17963.0,3709.0,1617.0,115.0,2443.0,79.0,,,,,,,1774.0,1114.0,193.0,198.0,15.0,174.0,,,,,,,,,,,,,,,,,,,,,,,,,79.0,,,,,,74.0,,,,,,,,,,,,,,,,
Kenya,KE,KEN,404,AFR,2000,100.0,28376.0,18705.0,3973.0,1474.0,116.0,2454.0,80.0,,,,,,,1964.0,1271.0,218.0,42.0,156.0,189.0,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,76.0,,,,,,,,,,,,,,,,
Kenya,KE,KEN,404,AFR,2001,100.0,30855.0,20703.0,4098.0,1577.0,105.0,2505.0,80.0,,,,,,,2635.0,1780.0,256.0,259.0,14.0,175.0,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,77.0,,,,,,,,,,,,,,,,
Kenya,KE,KEN,404,AFR,2002,100.0,30966.0,20247.0,4304.0,1519.0,135.0,2745.0,79.0,,,,,,,2476.0,1612.0,293.0,251.0,9.0,167.0,,,,,,,,,,,,,,,,,,,,,,,,,79.0,,,,,,77.0,,,,,,,,,,,,,,,,
Kenya,KE,KEN,404,AFR,2003,100.0,34068.0,22941.0,4282.0,1725.0,79.0,2999.0,80.0,,,,,,,3032.0,2035.0,228.0,326.0,16.0,220.0,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,75.0,,,,,,,,,,,,,,,,
Kenya,KE,KEN,404,AFR,2004,100.0,41167.0,28344.0,4707.0,2070.0,100.0,2875.0,80.0,56169.0,41779.0,3799.0,,5164.0,74.0,3646.0,2418.0,367.0,401.0,25.0,239.0,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,,,76.0,,,,,,,,,,,,,,,,
Kenya,KE,KEN,404,AFR,2005,100.0,40436.0,28651.0,4650.0,2021.0,141.0,3109.0,82.0,57433.0,45816.0,4055.0,,5001.0,80.0,3794.0,2586.0,345.0,377.0,22.0,261.0,,,,,,,,,,,,,,,,,,,,,,,,,81.0,,,,,,77.0,,,,,,,,,,,,,,,,
Kenya,KE,KEN,404,AFR,2006,100.0,39154.0,28621.0,4683.0,1776.0,131.0,2873.0,85.0,62032.0,50455.0,4054.0,,4993.0,81.0,3945.0,2804.0,309.0,281.0,37.0,328.0,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,,,,79.0,,,,,,,1.0,1.0,0.0,0.0,0.0,,,,,
Kenya,KE,KEN,404,AFR,2007,100.0,38360.0,28689.0,4040.0,1395.0,154.0,2611.0,85.0,60884.0,49786.0,3475.0,0.0,4978.0,82.0,3285.0,2386.0,253.0,241.0,41.0,222.0,10251.0,7283.0,1212.0,586.0,73.0,724.0,26002.0,21075.0,1870.0,0.0,1970.0,1072.0,763.0,67.0,108.0,18.0,69.0,,,,,,,,83.0,,,,,,80.0,,,,,,81.0,16.0,11.0,0.0,2.0,3.0,,,,,
Kenya,KE,KEN,404,AFR,2008,100.0,36811.0,28147.0,3300.0,1319.0,171.0,2457.0,85.0,62346.0,51654.0,3575.0,0.0,4672.0,83.0,10444.0,2604.0,4899.0,698.0,46.0,729.0,11174.0,8031.0,1020.0,764.0,54.0,867.0,26502.0,21519.0,1921.0,0.0,2009.0,4148.0,846.0,2378.0,416.0,7.0,327.0,,,,,,,,84.0,,,,,,72.0,,,,,,81.0,44.0,27.0,0.0,9.0,2.0,,,,,
