2026-09-20 01:07:57,411 | INFO | kenya_tb_pipeline | Kenya TB Case Study pipeline
2026-09-20 01:07:57,411 | INFO | kenya_tb_pipeline | Kenya TB Case Study pipeline
2026-09-20 01:07:57,412 | INFO | kenya_tb_pipeline | Project root: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis
2026-09-20 01:07:57,412 | INFO | kenya_tb_pipeline | Project root: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis
2026-09-20 01:07:57,412 | INFO | kenya_tb_pipeline | Log file: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis\logs\pipeline_20260920_010757.log
2026-09-20 01:07:57,412 | INFO | kenya_tb_pipeline | Log file: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis\logs\pipeline_20260920_010757.log
2026-09-20 01:07:57,413 | INFO | kenya_tb_pipeline | ========================================================================
2026-09-20 01:07:57,413 | INFO | kenya_tb_pipeline | ========================================================================
2026-09-20 01:07:57,414 | INFO | kenya_tb_pipeline | STARTING: Extract WHO TB data
2026-09-20 01:07:57,414 | INFO | kenya_tb_pipeline | STARTING: Extract WHO TB data
2026-09-20 01:07:57,415 | INFO | extract | Using cached file: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis\data\raw\who_tb\who_tb_estimates.csv
2026-09-20 01:07:57,461 | INFO | src.extract.who_tb | Wrote 25 rows to C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis\data\raw\who_tb\who_tb_estimates_kenya.csv
